Term,Base,Type,FirstPage,Num.Rel.Results,P.Rel.Results,Unique,P.Unique,Num.Olap,P.Olap
1,PubMed,s,10,8,0.800,6,0.750,2,0.250
2,PubMed,g,10,10,1.000,6,0.600,4,0.400
3,PubMed,s,10,9,0.900,9,1.000,0,0.000
4,PubMed,g,10,7,0.700,7,1.000,0,0.000
5,PubMed,s,10,10,1.000,10,1.000,0,0.000
6,PubMed,s,10,9,0.900,7,0.778,2,0.222
7,PubMed,s,10,10,1.000,3,0.300,7,0.700
8,PubMed,s,10,5,0.500,4,0.800,1,0.200
9,PubMed,g,10,9,0.900,9,1.000,0,0.000
10,PubMed,s,10,8,0.800,7,0.875,1,0.125
11,PubMed,s,10,9,0.900,5,0.556,4,0.444
12,PubMed,s,10,10,1.000,5,0.500,5,0.500
13,PubMed,g,10,4,0.400,4,1.000,0,0.000
14,PubMed,s,10,10,1.000,10,1.000,0,0.000
15,PubMed,s,10,8,0.800,8,1.000,0,0.000
16,PubMed,g,10,8,0.800,8,1.000,0,0.000
17,PubMed,s,10,7,0.700,6,0.857,1,0.143
18,PubMed,g,10,8,0.800,7,0.875,1,0.125
19,PubMed,g,10,8,0.800,6,0.750,2,0.250
20,PubMed,s,10,10,1.000,10,1.000,0,0.000
21,PubMed,g,NA,NA,NA,NA,NA,NA,NA
22,PubMed,s,10,10,1.000,3,0.300,7,0.700
23,PubMed,g,10,6,0.600,4,0.666,2,0.333
24,PubMed,g,10,9,0.900,8,0.888,1,0.111
25,PubMed,g,10,10,1.000,8,0.800,2,0.200
1,Scorpus,s,10,10,1.000,8,0.800,2,0.200
2,Scorpus,g,10,10,1.000,6,0.600,4,0.400
3,Scorpus,s,10,8,0.800,8,0.800,0,0.000
4,Scorpus,g,10,10,1.000,10,1.000,0,0.000
5,Scorpus,s,10,10,1.000,10,1.000,0,0.000
6,Scorpus,s,10,9,0.900,7,0.778,2,0.222
7,Scorpus,s,10,10,1.000,3,0.300,7,0.700
8,Scorpus,s,10,7,0.700,6,0.857,1,0.167
9,Scorpus,g,10,10,1.000,10,1.000,0,0.000
10,Scorpus,s,10,10,1.000,9,0.900,1,0.100
11,Scorpus,s,10,10,1.000,6,0.600,4,0.400
12,Scorpus,s,10,10,1.000,5,0.500,5,0.500
13,Scorpus,g,10,4,0.400,4,1.000,0,0.000
14,Scorpus,s,8,5,0.625,5,1.000,0,0.000
15,Scorpus,s,10,1,0.100,1,1.000,0,0.000
16,Scorpus,g,10,8,0.800,8,1.000,0,0.000
17,Scorpus,s,10,7,0.700,6,0.857,1,0.143
18,Scorpus,g,10,7,0.700,6,0.875,1,0.143
19,Scorpus,g,10,10,1.000,8,0.800,2,0.200
20,Scorpus,s,10,10,1.000,10,1.000,0,0.000
21,Scorpus,g,NA,NA,NA,NA,NA,NA,NA
22,Scorpus,s,10,9,0.900,2,0.222,7,0.777
23,Scorpus,g,10,10,1.000,8,0.800,2,0.200
24,Scorpus,g,10,9,0.900,8,0.888,1,0.111
25,Scorpus,g,10,8,0.800,6,0.750,2,0.250
