Term,Type,Base,Num.Results,Free,P.Strict,P.Loose,P.Permissive
1,s,PubMed,228,89,0.6,0.8,1.0
2,g,PubMed,2347,697,0.8,1.0,1.0
3,s,PubMed,25,15,0.6,0.8,0.8
4,g,PubMed,8092,3524,0.4,0.6,0.6
5,s,PubMed,9211,2219,1.0,1.0,1.0
6,s,PubMed,1463,575,0.6,0.6,0.6
7,s,PubMed,27,13,0.8,1.0,1.0
8,s,PubMed,57236,22840,0.2,0.6,1.0
9,g,PubMed,2098,837,0.6,1.0,1.0
10,s,PubMed,5101,1421,0.8,0.8,0.8
11,s,PubMed,4064,1196,0.8,0.8,1.0
12,s,PubMed,297,79,0.2,0.2,0.2
13,g,PubMed,25,6,0.2,0.4,0.4
14,s,PubMed,8416,2696,0.8,1.0,1.0
15,s,PubMed,1067,469,0.6,1.0,1.0
16,g,PubMed,1479,522,0.6,0.8,0.8
17,s,PubMed,529,131,0.6,0.8,0.8
18,g,PubMed,422,257,0.6,1.0,1.0
19,g,PubMed,891,399,1.0,1.0,1.0
20,s,PubMed,395,184,1.0,1.0,1.0
21,g,PubMed,910,0,0.0,0.6,1.0
22,s,PubMed,30,7,0.8,1.0,1.0
23,g,PubMed,697,264,0.6,1.0,1.0
24,g,PubMed,47,16,0.8,1.0,1.0
25,g,PubMed,1111,266,1.0,1.0,1.0
26,g,PubMed,56,56,0.2,0.4,0.6
27,g,PubMed,860,239,0.6,0.6,0.8
28,g,PubMed,112,453,0.8,1.0,1.0
29,s,PubMed,98,32,0.8,1.0,1.0
30,s,PubMed,29559,5887,0.8,1.0,1.0
31,s,PubMed,69309,20354,1.0,1.0,1.0
32,s,PubMed,47890,10303,0.8,0.8,1.0
33,s,PubMed,1060,398,1.0,1.0,1.0
34,g,PubMed,3461,1180,0.4,0.8,0.8
35,s,PubMed,431,280,0.2,1.0,1.0
36,s,PubMed,20792,10134,0.6,1.0,1.0
37,g,PubMed,97,33,0.8,1.0,1.0
38,s,PubMed,68,38,0.4,0.6,1.0
39,s,PubMed,403,287,0.4,0.8,1.0
40,s,PubMed,14748,4703,1.0,1.0,1.0
41,s,PubMed,5,1,0.4,0.6,0.8
42,s,PubMed,60707,22741,0.8,1.0,1.0
43,g,PubMed,467,110,0.4,0.4,0.6
44,s,PubMed,3267,1109,0.2,1.0,1.0
45,s,PubMed,28,7,0.6,0.8,1.0
46,g,PubMed,2977,735,0.2,0.6,1.0
47,g,PubMed,915,325,0.4,0.6,1.0
48,s,PubMed,23348,12639,0.8,1.0,1.0
49,s,PubMed,498,222,1.0,1.0,1.0
50,s,PubMed,295,80,0.2,0.4,0.4
1,s,Scorpus,213,12,0.8,1.0,1.0
2,g,Scorpus,5580,251,0.2,0.2,0.2
3,s,Scorpus,89,8,1.0,1.0,1.0
4,g,Scorpus,4642,337,1.0,1.0,1.0
5,s,Scorpus,11792,580,1.0,1.0,1.0
6,s,Scorpus,1970,54,1.0,1.0,1.0
7,s,Scorpus,25,2,0.6,1.0,1.0
8,s,Scorpus,15728,777,0.4,1.0,1.0
9,g,Scorpus,337,14,1.0,1.0,1.0
10,s,Scorpus,2850,86,1.0,1.0,1.0
11,s,Scorpus,2579,123,1.0,1.0,1.0
12,s,Scorpus,290,10,0.4,1.0,1.0
13,g,Scorpus,56,2,0.0,0.0,0.0
14,s,Scorpus,935,50,0.6,1.0,1.0
15,s,Scorpus,7502,220,0.2,0.2,1.0
16,g,Scorpus,606,24,0.6,0.8,1.0
17,s,Scorpus,952,22,0.0,0.2,0.4
18,g,Scorpus,108,11,0.4,0.6,1.0
19,g,Scorpus,1739,95,1.0,1.0,1.0
20,s,Scorpus,621,51,0.8,1.0,1.0
21,g,Scorpus,310,18,0.4,0.6,1.0
22,s,Scorpus,42,1,1.0,1.0,1.0
23,g,Scorpus,277,16,1.0,1.0,1.0
24,g,Scorpus,66,3,0.8,1.0,1.0
25,g,Scorpus,2618,51,0.6,1.0,1.0
26,g,Scorpus,99,6,0.6,0.6,1.0
27,g,Scorpus,1165,24,1.0,1.0,1.0
28,g,Scorpus,611,16,1.0,1.0,1.0
29,s,Scorpus,47,4,0.6,1.0,1.0
30,s,Scorpus,197075,4361,0.6,0.6,1.0
31,s,Scorpus,98602,5287,0.8,1.0,1.0
32,s,Scorpus,8408,279,0.6,0.6,1.0
33,s,Scorpus,1204,35,1.0,1.0,1.0
34,g,Scorpus,2858,81,0.6,0.6,1.0
35,s,Scorpus,717,19,0.8,1.0,1.0
36,s,Scorpus,29811,1660,0.4,1.0,1.0
37,g,Scorpus,139,5,0.8,1.0,1.0
38,s,Scorpus,40,3,0.0,0.2,0.6
39,s,Scorpus,4444,160,0.6,0.8,1.0
40,s,Scorpus,36187,1432,0.2,1.0,1.0
41,s,Scorpus,11,2,0.4,0.6,0.8
42,s,Scorpus,11423,699,0.6,1.0,1.0
43,g,Scorpus,703,18,0.0,0.0,1.0
44,s,Scorpus,131,5,0.8,1.0,1.0
45,s,Scorpus,48,5,0.6,0.6,0.6
46,g,Scorpus,479,16,0.8,0.8,1.0
47,g,Scorpus,1271,34,0.6,1.0,1.0
48,s,Scorpus,49226,2097,0.8,1.0,1.0
49,s,Scorpus,576,34,0.8,0.8,0.8
50,s,Scorpus,27,1,0.6,0.6,0.8
